Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
Fin w/bulb & spade rudder,Fractional  Sloop,9.80 m,8.94 m,3.25 m,52.58 m<sup>2</sup>,1.74 m,"4,310 kg","1,480 kg",20.25,34.34,168.12,FG,,2010,,Judel/Vrolijk,20.81,2.02,3.53,13.20 m,3.60 m,12.67 m,4.55 m,,,23.76 m<sup>2</sup>,28.83 m<sup>2</sup>,20.26,13.68 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-32/pdf"">PDF</a>",DEHLER 32,02429.jpg,,Dehler (GER),,,,,,64 L,,98 L,,,,,,15.55 m,
Fin w/bulb & spade rudder,Fractional  Sloop,9.99 m,9.00 m,2.99 m,55.83 m<sup>2</sup>,1.65 m,"3,800 kg","1,500 kg",23.39,39.48,145.23,FG,,1996,,Judel/Vrolijk,20.27,1.94,4.03,12.00 m,3.42 m,12.80 m,4.70 m,,,20.52 m<sup>2</sup>,30.08 m<sup>2</sup>,21.19,12.48 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-33/pdf"">PDF</a>",DEHLER 33,02430.jpg,,Dehler,2GM20F,2000,Yanmar,Diesel,,61 L,,91 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,9.99 m,9.00 m,2.99 m,55.83 m<sup>2</sup>,1.65 m,"3,800 kg","1,500 kg",23.39,39.48,145.23,FG,,1996,,Judel/Vrolijk,20.27,1.94,4.03,12.00 m,3.42 m,12.80 m,4.70 m,,,20.52 m<sup>2</sup>,30.08 m<sup>2</sup>,21.19,12.48 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-33/pdf"">PDF</a>",DEHLER 33,02431.jpg,,Dehler,2GM20F,2000,Yanmar,Diesel,,61 L,,91 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,10.10 m,8.30 m,3.40 m,45.71 m<sup>2</sup>,1.75 m,"4,000 kg","1,800 kg",18.50,45.00,194.98,FG,Iron,1983,1200,E. G. van de Stadt ,18.93,2.16,2.94,11.80 m,3.65 m,11.80 m,4.10 m,,,21.52 m<sup>2</sup>,24.18 m<sup>2</sup>,18.50,12.35 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-34/pdf"">PDF</a>",DEHLER 34,02432.jpg,,Dehler (GER),,1993,Yanmar,Diesel,18,38 L,,76 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,10.10 m,8.30 m,3.40 m,45.71 m<sup>2</sup>,1.75 m,"4,000 kg","1,800 kg",18.50,45.00,194.98,FG,Iron,1983,1200,E. G. van de Stadt ,18.93,2.16,2.94,11.80 m,3.65 m,11.80 m,4.10 m,,,21.52 m<sup>2</sup>,24.18 m<sup>2</sup>,18.50,12.35 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-34/pdf"">PDF</a>",DEHLER 34,02433.jpg,,Dehler (GER),,1993,Yanmar,Diesel,18,38 L,,76 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,10.21 m,9.30 m,3.20 m,56.60 m<sup>2</sup>,1.90 m,"4,500 kg","1,700 kg",21.18,37.78,155.95,FG,,2002,,Judel/Vrolijk,21.31,1.96,3.71,13.66 m,3.76 m,12.52 m,4.50 m,,,25.69 m<sup>2</sup>,28.17 m<sup>2</sup>,20.16,14.17 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-34-2/pdf"">PDF</a>",DEHLER 34-2,02434.jpg,,Dehler Yachts (GER),2GM20,2007,Yanmar,Diesel,18,90 L,,150 L,,,,,,15.75 m,
Fin w/bulb & spade rudder,Fractional  Sloop,10.70 m,9.60 m,3.60 m,64.94 m<sup>2</sup>,1.95 m,"6,000 kg","2,100 kg",20.07,35.00,188.94,FG,,2015,,Judel/Vrolijk,23.42,2.00,2.99,13.60 m,3.87 m,13.25 m,4.95 m,,,26.32 m<sup>2</sup>,32.79 m<sup>2</sup>,18.27,14.14 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-34-3/pdf"">PDF</a>",DEHLER 34-3,02435.jpg,,Dehler,D1-20,,Volvo,Diesel,18,159 L,,231 L,,,,,,16.28 m,
Fin w/bulb & spade rudder,Fractional  Sloop,10.70 m,9.60 m,3.60 m,64.94 m<sup>2</sup>,1.95 m,"6,000 kg","2,100 kg",20.07,35.00,188.94,FG,,2015,,Judel/Vrolijk,23.42,2.00,2.99,13.60 m,3.87 m,13.25 m,4.95 m,,,26.32 m<sup>2</sup>,32.79 m<sup>2</sup>,18.27,14.14 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-34-3/pdf"">PDF</a>",DEHLER 34-3,02436.jpg,,Dehler,D1-20,,Volvo,Diesel,18,159 L,,231 L,,,,,,16.28 m,
Fin w/bulb & spade rudder,Fractional  Sloop,10.51 m,9.38 m,3.49 m,64.57 m<sup>2</sup>,1.95 m,"5,520 kg","1,880 kg",21.09,34.06,186.48,FG,Lead,2010,,Simonis & Voogd,22.94,1.99,3.35,14.80 m,4.10 m,14.55 m,4.70 m,,,30.34 m<sup>2</sup>,34.20 m<sup>2</sup>,21.08,15.36 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-35/pdf"">PDF</a>",DEHLER 35,02437.jpg,,Dehler,D1-20,,Volvo,Diesel,18,87 L,,129 L,,,,,,17.64 m,
Fin w/bulb & spade rudder,Fractional  Sloop,10.51 m,9.38 m,3.49 m,64.57 m<sup>2</sup>,1.95 m,"5,520 kg","1,880 kg",21.09,34.06,186.48,FG,Lead,2010,,Simonis & Voogd,22.94,1.99,3.35,14.80 m,4.10 m,14.55 m,4.70 m,,,30.34 m<sup>2</sup>,34.20 m<sup>2</sup>,21.08,15.36 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-35/pdf"">PDF</a>",DEHLER 35,02438.jpg,,Dehler,D1-20,,Volvo,Diesel,18,87 L,,129 L,,,,,,17.64 m,
Fin w/bulb & spade rudder,Fractional  Sloop,10.50 m,8.90 m,3.30 m,54.53 m<sup>2</sup>,1.90 m,"4,800 kg","1,900 kg",19.55,39.59,189.75,FG,,1993,280,van de Stadt,22.25,1.98,3.13,12.60 m,3.68 m,13.20 m,4.75 m,,,23.18 m<sup>2</sup>,31.34 m<sup>2</sup>,19.55,13.13 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-35-cws/pdf"">PDF</a>",DEHLER 35 CWS,02439.jpg,,Dehler,,1998,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,10.95 m,9.95 m,3.50 m,66.52 m<sup>2</sup>,1.95 m,"6,001 kg","2,200 kg",20.55,36.66,169.85,FG,,1990,,Judel/Vrolijk,23.57,1.95,3.54,14.75 m,4.24 m,14.25 m,4.95 m,,,31.27 m<sup>2</sup>,35.27 m<sup>2</sup>,20.56,15.35 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-36/pdf"">PDF</a>",DEHLER 36,02440.jpg,,Dehler (GER),2GM20 ,,Yanmar,Diesel,,53 L,,98 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,10.95 m,9.95 m,3.50 m,66.52 m<sup>2</sup>,1.95 m,"6,001 kg","2,200 kg",20.55,36.66,169.85,FG,,1990,,Judel/Vrolijk,23.57,1.95,3.54,14.75 m,4.24 m,14.25 m,4.95 m,,,31.27 m<sup>2</sup>,35.27 m<sup>2</sup>,20.56,15.35 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-36/pdf"">PDF</a>",DEHLER 36,02441.jpg,,Dehler (GER),2GM20 ,,Yanmar,Diesel,,53 L,,98 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,11.00 m,9.00 m,3.50 m,59.09 m<sup>2</sup>,1.85 m,"5,601 kg","2,400 kg",19.11,42.85,214.07,FG,Iron,1986,,E. G. van de Stadt ,23.48,1.99,2.77,13.00 m,3.90 m,13.50 m,5.00 m,,,25.36 m<sup>2</sup>,33.74 m<sup>2</sup>,19.12,13.57 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-36-cws/pdf"">PDF</a>",DEHLER 36 CWS,02442.jpg,,Dehler (GER),2GM20/30,1994,Yanmar,Diesel,,151 L,,250 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,11.00 m,9.00 m,3.50 m,59.09 m<sup>2</sup>,1.85 m,"5,601 kg","2,400 kg",19.11,42.85,214.07,FG,Iron,1986,,E. G. van de Stadt ,23.48,1.99,2.77,13.00 m,3.90 m,13.50 m,5.00 m,,,25.36 m<sup>2</sup>,33.74 m<sup>2</sup>,19.12,13.57 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-36-cws/pdf"">PDF</a>",DEHLER 36 CWS,02443.jpg,,Dehler (GER),2GM20/30,1994,Yanmar,Diesel,,151 L,,250 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,11.01 m,9.00 m,3.50 m,63.82 m<sup>2</sup>,1.98 m,"5,968 kg",,19.79,,228.10,FG,,1990,,Van De Stadt,25.01,1.95,2.67,13.55 m,3.90 m,14.50 m,5.15 m,,,26.44 m<sup>2</sup>,37.34 m<sup>2</sup>,19.78,14.10 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-36-db/pdf"">PDF</a>",DEHLER 36 DB,02444.jpg,,Dehler (GER),,,Yanmar,Diesel,18,53 L,,98 L,,,,,,17.65 m,
Fin w/bulb & spade rudder,Fractional  Sloop,10.95 m,9.95 m,3.50 m,68.47 m<sup>2</sup>,1.98 m,"6,400 kg","2,360 kg",20.27,36.88,181.13,FG,Iron or Lead,2001,,Judel/Vrolijk,25.13,1.90,3.26,14.75 m,4.24 m,14.20 m,4.95 m,,,31.27 m<sup>2</sup>,35.15 m<sup>2</sup>,19.66,15.35 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-36-sq/pdf"">PDF</a>",DEHLER 36 SQ,02445.jpg,,Dehler,D1-30,,Volvo Penta,Diesel,29,91 L,,254 L,,,,,,17.91 m,
Fin w/spade rudder,Masthead Sloop,11.01 m,8.60 m,3.53 m,54.44 m<sup>2</sup>,1.65 m,"5,126 kg","2,801 kg",18.68,54.65,224.71,FG,,1981,,E. G. van de Stadt,21.88,2.07,2.60,12.70 m,4.15 m,12.50 m,4.50 m,,,26.34 m<sup>2</sup>,28.12 m<sup>2</sup>,18.69,13.36 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-37/pdf"">PDF</a>",DEHLER 37,02446.jpg,,Dehler (GER),,,Yanmar,Diesel,30,,,,,,,,,,
Fin w/spade rudder,Masthead Sloop,11.01 m,8.60 m,3.53 m,54.44 m<sup>2</sup>,1.65 m,"5,126 kg","2,801 kg",18.68,54.65,224.71,FG,,1981,,E. G. van de Stadt,21.88,2.07,2.60,12.70 m,4.15 m,12.50 m,4.50 m,,,26.34 m<sup>2</sup>,28.12 m<sup>2</sup>,18.69,13.36 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-37/pdf"">PDF</a>",DEHLER 37,02447.jpg,,Dehler (GER),,,Yanmar,Diesel,30,,,,,,,,,,
Fin w/spade rudder,Fractional  Sloop,11.00 m,9.00 m,3.50 m,62.00 m<sup>2</sup>,1.80 m,"5,300 kg","2,100 kg",20.81,39.63,202.56,FG,Cast iron,1990,,E. G. van de Stadt,22.22,2.03,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-37-cws/pdf"">PDF</a>",DEHLER 37 CWS,02448.jpg,,Dehler Yachts (GER),3GM,1996,Yanmar,Diesel,27,98 L,1.80 m,201 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,11.00 m,9.00 m,3.50 m,62.00 m<sup>2</sup>,1.80 m,"5,300 kg","2,100 kg",20.81,39.63,202.56,FG,Cast iron,1990,,E. G. van de Stadt,22.22,2.03,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-37-cws/pdf"">PDF</a>",DEHLER 37 CWS,02449.jpg,,Dehler Yachts (GER),3GM,1996,Yanmar,Diesel,27,98 L,1.80 m,201 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,11.30 m,8.60 m,3.45 m,56.02 m<sup>2</sup>,1.65 m,"5,792 kg","2,800 kg",17.72,48.34,253.92,FG,,1983,,Van de Stadt,25.24,1.94,2.20,12.71 m,4.15 m,15.00 m,3.96 m,,,26.34 m<sup>2</sup>,29.71 m<sup>2</sup>,17.73,13.37 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-372/pdf"">PDF</a>",DEHLER 372,02450.jpg,,Dehler (GER),,,Yanmar,Diesel,,178 L,,201 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,11.80 m,9.60 m,3.80 m,58.25 m<sup>2</sup>,1.91 m,"5,500 kg","1,270 kg",19.07,23.09,173.18,FG,,1987,,Van de Stadt,19.35,2.17,3.31,13.10 m,4.00 m,12.80 m,5.00 m,,,26.19 m<sup>2</sup>,32.03 m<sup>2</sup>,19.07,13.70 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-38/pdf"">PDF</a>",DEHLER 38,02451.jpg,,Dehler (GER),2003,,Volvo Penta,Diesel,28,95 L,,291 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,11.80 m,9.60 m,3.80 m,58.25 m<sup>2</sup>,1.91 m,"5,500 kg","1,270 kg",19.07,23.09,173.18,FG,,1987,,Van de Stadt,19.35,2.17,3.31,13.10 m,4.00 m,12.80 m,5.00 m,,,26.19 m<sup>2</sup>,32.03 m<sup>2</sup>,19.07,13.70 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-38/pdf"">PDF</a>",DEHLER 38,02452.jpg,,Dehler (GER),2003,,Volvo Penta,Diesel,28,95 L,,291 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,12.07 m,10.40 m,3.75 m,77.90 m<sup>2</sup>,2.03 m,"7,500 kg","2,380 kg",20.75,31.73,185.84,GRP w/ vinylester resin and balsa core,Cast iron,2020,,judel/vrolijk & co.,25.26,1.93,3.10,15.07 m,4.36 m,14.50 m,5.20 m,,,32.84 m<sup>2</sup>,37.70 m<sup>2</sup>,18.79,15.69 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-38-sq/pdf"">PDF</a>",DEHLER 38 SQ,02453.jpg,,Dehler Yachts,,,,Diesel,29,160 L,,295 L,,,,,,17.70 m,
Fin w/bulb & spade rudder,Fractional  Sloop,12.07 m,10.40 m,3.75 m,77.90 m<sup>2</sup>,2.03 m,"7,500 kg","2,380 kg",20.75,31.73,185.84,GRP w/ vinylester resin and balsa core,Cast iron,2020,,judel/vrolijk & co.,25.26,1.93,3.10,15.07 m,4.36 m,14.50 m,5.20 m,,,32.84 m<sup>2</sup>,37.70 m<sup>2</sup>,18.79,15.69 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-38-sq/pdf"">PDF</a>",DEHLER 38 SQ,02454.jpg,,Dehler Yachts,,,,Diesel,29,160 L,,295 L,,,,,,17.70 m,
Fin w/bulb & spade rudder,Fractional  Sloop,11.89 m,10.69 m,3.82 m,95.88 m<sup>2</sup>,1.95 m,"7,001 kg","2,945 kg",26.73,42.06,159.62,FG,,1996,,Judel/Vrolijk,22.70,2.02,3.72,15.70 m,4.40 m,14.90 m,5.35 m,,,34.55 m<sup>2</sup>,39.85 m<sup>2</sup>,20.74,16.31 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-39/pdf"">PDF</a>",DEHLER 39,02455.jpg,,Dehler (GER),3JH,,Yanmar,Diesel,,,,,,,,,,18.30 m,
Fin w/bulb & spade rudder,Fractional  Sloop,11.86 m,9.20 m,3.30 m,54.63 m<sup>2</sup>,1.88 m,"5,101 kg",,18.81,,182.46,FG,,1988,,Van de Stadt,22.19,1.94,3.15,12.66 m,3.68 m,13.20 m,4.75 m,,,23.28 m<sup>2</sup>,31.34 m<sup>2</sup>,18.81,13.18 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-39-cws/pdf"">PDF</a>",DEHLER 39 CWS,02456.jpg,,Dehler (GER),,,Volvo Penta,Diesel,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,11.99 m,10.70 m,3.85 m,88.00 m<sup>2</sup>,1.98 m,"7,600 kg","2,950 kg",23.23,38.81,172.82,FG,,2004,,Judel/Vrolijk,24.32,1.98,3.53,16.17 m,4.40 m,15.55 m,5.57 m,,,35.58 m<sup>2</sup>,43.30 m<sup>2</sup>,20.83,16.76 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-39-sq/pdf"">PDF</a>",DEHLER 39 SQ,02457.jpg,,Dehler (GER),3YM30,,Yanmar,Diesel,29,110 L,,230 L,,,,,,18.85 m,
Fin w/bulb & spade rudder,Fractional  Sloop,11.99 m,10.70 m,3.85 m,88.00 m<sup>2</sup>,1.98 m,"7,600 kg","2,950 kg",23.23,38.81,172.82,FG,,2004,,Judel/Vrolijk,24.32,1.98,3.53,16.17 m,4.40 m,15.55 m,5.57 m,,,35.58 m<sup>2</sup>,43.30 m<sup>2</sup>,20.83,16.76 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-39-sq/pdf"">PDF</a>",DEHLER 39 SQ,02458.jpg,,Dehler (GER),3YM30,,Yanmar,Diesel,29,110 L,,230 L,,,,,,18.85 m,
Fin w/bulb & spade rudder,Fractional  Sloop,12.40 m,11.50 m,3.93 m,91.97 m<sup>2</sup>,2.15 m,"8,195 kg","2,995 kg",23.09,36.55,150.17,FG,Lead/ Iron,2010,,Judel / Vrolijk,24.02,1.97,3.93,16.50 m,4.65 m,16.10 m,5.70 m,,,38.37 m<sup>2</sup>,45.88 m<sup>2</sup>,21.15,17.14 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-41/pdf"">PDF</a>",DEHLER 41,02459.jpg,,Dehler,D2-40,,Volvo,Diesel,39,110 L,,295 L,,,,,,19.80 m,
Fin w/bulb & spade rudder,Fractional  Sloop,12.40 m,11.50 m,3.93 m,91.97 m<sup>2</sup>,2.15 m,"8,195 kg","2,995 kg",23.09,36.55,150.17,FG,Lead/ Iron,2010,,Judel / Vrolijk,24.02,1.97,3.93,16.50 m,4.65 m,16.10 m,5.70 m,,,38.37 m<sup>2</sup>,45.88 m<sup>2</sup>,21.15,17.14 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-41/pdf"">PDF</a>",DEHLER 41,02460.jpg,,Dehler,D2-40,,Volvo,Diesel,39,110 L,,295 L,,,,,,19.80 m,
Fin w/bulb & spade rudder,Fractional  Sloop,12.45 m,11.05 m,3.90 m,81.40 m<sup>2</sup>,2.00 m,"8,900 kg","3,300 kg",19.34,37.08,183.89,FG,,1999,,Judel/Vrolijk,27.02,1.90,3.14,16.10 m,4.55 m,15.90 m,5.40 m,,,36.63 m<sup>2</sup>,42.93 m<sup>2</sup>,18.91,16.73 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-41-cr/pdf"">PDF</a>",DEHLER 41 CR,02461.jpg,,Dehler Yachts (GER),3JH2-TBE,,Yanmar,Diesel,,140 L,,379 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,12.45 m,11.05 m,3.90 m,81.40 m<sup>2</sup>,2.00 m,"8,900 kg","3,300 kg",19.34,37.08,183.89,FG,,1996,,Judel/Vrolijk,27.02,1.90,3.14,16.10 m,4.55 m,15.90 m,5.40 m,,,36.63 m<sup>2</sup>,42.94 m<sup>2</sup>,18.91,16.73 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-41-ds/pdf"">PDF</a>",DEHLER 41 DS,02462.jpg,,Dehler Yachts (GER),4JH3,,Yanmar,Diesel,52,180 L,,400 L,,,,,,19.50 m,
Fin w/bulb & spade rudder,Fractional  Sloop,12.84 m,11.50 m,3.91 m,92.90 m<sup>2</sup>,2.15 m,"9,100 kg","3,000 kg",21.75,32.97,166.75,FG,Cast iron (standard keel),2016,,Judel/Vrolijk,26.54,1.89,3.48,16.44 m,4.63 m,16.10 m,5.70 m,,,38.06 m<sup>2</sup>,45.88 m<sup>2</sup>,19.66,17.08 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-42/pdf"">PDF</a>",DEHLER 42,02463.jpg,,Dehler Yachts,D2-40,,Volvo,Diesel,38,160 L,,315 L,,,,,,19.50 m,
Fin w/bulb & spade rudder,Fractional  Sloop,13.20 m,10.60 m,3.90 m,91.97 m<sup>2</sup>,2.05 m,"8,700 kg","3,800 kg",22.19,43.68,203.52,FG,,1995,,van de Stadt,26.62,1.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-43-cws/pdf"">PDF</a>",DEHLER 43 CWS,02464.jpg,,Dehler,,,Yanmar,Diesel,48,151 L,,401 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,13.20 m,10.60 m,3.90 m,91.97 m<sup>2</sup>,2.05 m,"8,700 kg","3,800 kg",22.19,43.68,203.52,FG,,1995,,van de Stadt,26.62,1.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-43-cws/pdf"">PDF</a>",DEHLER 43 CWS,02465.jpg,,Dehler,,,Yanmar,Diesel,48,151 L,,401 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,13.70 m,11.99 m,3.86 m,96.80 m<sup>2</sup>,2.20 m,"9,700 kg","3,530 kg",21.72,36.39,156.80,FG,,2010,,Simonis Voogd,27.41,1.83,3.89,17.21 m,5.03 m,17.40 m,6.15 m,,,43.27 m<sup>2</sup>,53.52 m<sup>2</sup>,21.72,17.93 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-45/pdf"">PDF</a>",DEHLER 45,02466.jpg,,Dehler,D2-40,,Volvo,Diesel,39,167 L,,231 L,,,,,,20.85 m,
Fin w/bulb & spade rudder,Fractional  Sloop,13.70 m,11.99 m,3.86 m,96.80 m<sup>2</sup>,2.20 m,"9,700 kg","3,530 kg",21.72,36.39,156.80,FG,,2010,,Simonis Voogd,27.41,1.83,3.89,17.21 m,5.03 m,17.40 m,6.15 m,,,43.27 m<sup>2</sup>,53.52 m<sup>2</sup>,21.72,17.93 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-45/pdf"">PDF</a>",DEHLER 45,02467.jpg,,Dehler,D2-40,,Volvo,Diesel,39,167 L,,231 L,,,,,,20.85 m,
Fin w/bulb & spade rudder,Fractional  Sloop,14.76 m,12.90 m,4.35 m,114.80 m<sup>2</sup>,2.25 m,"11,500 kg","3,500 kg",23.00,30.43,149.33,FG/vinylester (composite infusion),lead,2015,,Judel/Vrolijk,25.75,1.95,3.88,18.10 m,5.29 m,17.60 m,6.25 m,,,47.88 m<sup>2</sup>,55.01 m<sup>2</sup>,20.62,18.86 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-46/pdf"">PDF</a>",DEHLER 46,02468.jpg,,Dehler,,,Volvo,Diesel,51,210 L,,450 L,,,,72.83 m,,21.20 m,
Fin w/bulb & spade rudder,Fractional  Sloop,14.76 m,12.90 m,4.35 m,114.80 m<sup>2</sup>,2.25 m,"11,500 kg","3,500 kg",23.00,30.43,149.33,FG/vinylester (composite infusion),lead,2015,,Judel/Vrolijk,25.75,1.95,3.88,18.10 m,5.29 m,17.60 m,6.25 m,,,47.88 m<sup>2</sup>,55.01 m<sup>2</sup>,20.62,18.86 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-46/pdf"">PDF</a>",DEHLER 46,02469.jpg,,Dehler,,,Volvo,Diesel,51,210 L,,450 L,,,,72.83 m,,21.20 m,
Lifting Keel,Fractional  Sloop,6.60 m,5.50 m,2.40 m,19.51 m<sup>2</sup>,0.40 m,898 kg,399 kg,21.36,44.44,150.31,FG,,1983,,E. G. van de Stadt ,10.24,2.51,3.96,7.25 m,2.13 m,7.89 m,2.99 m,,,7.74 m<sup>2</sup>,11.79 m<sup>2</sup>,21.38,7.56 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehlya-22/pdf"">PDF</a>",DEHLYA 22,02470.jpg,,Dehler (DEU),,1990,,,,,,,,,,,,,
Lifting Keel,Fractional  Sloop,6.60 m,5.50 m,2.40 m,19.51 m<sup>2</sup>,0.40 m,898 kg,399 kg,21.36,44.44,150.31,FG,,1983,,E. G. van de Stadt ,10.24,2.51,3.96,7.25 m,2.13 m,7.89 m,2.99 m,,,7.74 m<sup>2</sup>,11.79 m<sup>2</sup>,21.38,7.56 m,"<a class="""" href=""https://sailboatdata.com/sailboat/dehlya-22/pdf"">PDF</a>",DEHLYA 22,02471.jpg,,Dehler (DEU),,1990,,,,,,,,,,,,,
Fin Keel,Masthead Sloop,7.32 m,5.79 m,2.44 m,26.29 m<sup>2</sup>,1.13 m,"1,950 kg",,17.17,,279.87,FG,,1965,,McGlasson,20.31,1.97,1.92,9.37 m,2.57 m,8.15 m,3.51 m,,,12.03 m<sup>2</sup>,14.29 m<sup>2</sup>,17.19,9.72 m,"<a class="""" href=""https://sailboatdata.com/sailboat/del-rey-24/pdf"">PDF</a>",DEL REY 24,02472.jpg,,Blue Buoy Yacht Corp. (USA),,,,,,,,,,,,,,,
Fin Keel,Masthead Sloop,7.32 m,5.79 m,2.44 m,26.29 m<sup>2</sup>,1.13 m,"1,950 kg",,17.17,,279.87,FG,,1965,,McGlasson,20.31,1.97,1.92,9.37 m,2.57 m,8.15 m,3.51 m,,,12.03 m<sup>2</sup>,14.29 m<sup>2</sup>,17.19,9.72 m,"<a class="""" href=""https://sailboatdata.com/sailboat/del-rey-24/pdf"">PDF</a>",DEL REY 24,02473.jpg,,Blue Buoy Yacht Corp. (USA),,,,,,,,,,,,,,,
Fin Keel,Masthead  Ketch,14.83 m,13.11 m,3.96 m,,2.29 m,"18,144 kg","6,804 kg",,37.50,224.60,FG,,1970,17,William Crealock/Edward DeLong,45.42,1.52,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/del-rey-50/pdf"">PDF</a>",DEL REY 50,02474.jpg,,Blue Buoy Yacht Corp. (USA),,1981,,,,,,,,,,,,,
Fin w/spade rudder,Masthead Sloop,7.60 m,6.10 m,2.48 m,30.01 m<sup>2</sup>,1.25 m,"1,500 kg",600 kg,23.34,40.01,184.27,FG,,1974,,E. G. van de Stadt,14.56,2.19,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/delanta-76-dehler/pdf"">PDF</a>",DELANTA 76 (DEHLER),02475.jpg,,Dehler,,1980,Vire,Gas,7,,,,,,,,,,
Fin w/spade rudder,Masthead Sloop,7.60 m,6.10 m,2.48 m,30.01 m<sup>2</sup>,1.25 m,"1,500 kg",600 kg,23.34,40.01,184.27,FG,,1974,,E. G. van de Stadt,14.56,2.19,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/delanta-76-dehler/pdf"">PDF</a>",DELANTA 76 (DEHLER),02476.jpg,,Dehler,,1980,Vire,Gas,7,,,,,,,,,,
