Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number,image_hash
25,30,10.9,9.22,3.4,,1.83,7316.0,3251.0,,44.44,260.11,86,-1,1975.0,,1391,31.48,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/conway-36-westerly/pdf"">PDF</a>",1443,02150.jpg,,Westerly Marine Ltd. (UK),,1982.0,Mercedes,Diesel,,159 L,,284 L,,,,,,,,41c0fcff447c7e00
25,30,10.9,9.22,3.4,,1.83,7316.0,3251.0,,44.44,260.11,86,-1,1975.0,,1391,31.48,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/conway-36-westerly/pdf"">PDF</a>",1443,02151.jpg,,Westerly Marine Ltd. (UK),,1982.0,Mercedes,Diesel,,159 L,,284 L,,,,,,,,ffffffffff0001ff
40,13,6.1,4.82,2.01,19.7,0.89,635.0,,27.16,,157.56,509,-1,1928.0,16.0,2198,10.29,2.36,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/conway-one-design/pdf"">PDF</a>",1444,02152.jpg,,W. H. Rowlands,,,,,,,,,conwyyachtclub.com,,,,,7.01,,fff7f7fcfc780000
25,30,10.67,8.69,3.66,52.03,1.75,5897.0,2132.0,16.26,36.15,250.7,86,-1,1979.0,,2028,24.11,2.05,2.1,13.87,4.57,12.19,3.35,,,31.7,20.44,16.3,14.6,"<a class="""" href=""https://sailboatdata.com/sailboat/cooper-353/pdf"">PDF</a>",1445,02153.jpg,,Cooper Yachts Ltd. (CAN),,,,,,,,,,,,,,,,7f0220001038ff83
25,30,10.67,8.69,3.66,52.03,1.75,5897.0,2132.0,16.26,36.15,250.7,86,-1,1979.0,,2028,24.11,2.05,2.1,13.87,4.57,12.19,3.35,,,31.7,20.44,16.3,14.6,"<a class="""" href=""https://sailboatdata.com/sailboat/cooper-353/pdf"">PDF</a>",1445,02154.jpg,,Cooper Yachts Ltd. (CAN),,,,,,,,,,,,,,,,e7e7e7c3c1f1c3c0
25,30,12.65,9.91,4.27,67.17,2.01,10886.0,4763.0,13.96,43.75,312.11,86,57,1978.0,,2028,31.36,1.95,1.42,15.79,5.33,13.72,3.66,,,42.11,25.08,13.96,16.67,"<a class="""" href=""https://sailboatdata.com/sailboat/cooper-416/pdf"">PDF</a>",1446,02155.jpg,,Cooper Yachts Ltd. (CAN),4-108 FWC,,Perkins,Diesel,48.0,379 L,,568 L,,,,,,,,ff1f3c34f07e7e0e
25,30,12.65,9.91,4.27,67.17,2.01,10886.0,4763.0,13.96,43.75,312.11,86,57,1978.0,,2028,31.36,1.95,1.42,15.79,5.33,13.72,3.66,,,42.11,25.08,13.96,16.67,"<a class="""" href=""https://sailboatdata.com/sailboat/cooper-416/pdf"">PDF</a>",1446,02156.jpg,,Cooper Yachts Ltd. (CAN),4-108 FWC,,Perkins,Diesel,48.0,379 L,,568 L,,,,,,,,efe7efef0181e3c3
25,30,15.44,13.41,4.57,115.11,2.44,17395.0,7484.0,17.51,43.02,200.98,86,-1,1981.0,5.0,2028,34.99,1.78,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cooper-508/pdf"">PDF</a>",1447,02157.jpg,,Cooper Yachts Ltd. (CAN),,,Lehman,Diesel,85.0,700 L,,700 L,,,,,,,,ffe781ff81f7c501
34,30,5.25,4.88,4.8,11.98,1.02,480.0,180.0,19.92,37.52,115.1,86,-1,1968.0,50.0,89,2.54,6.19,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/copain-amel/pdf"">PDF</a>",1448,02158.jpg,0.56,Amel (FRA),,1970.0,,,,,,,,,,,,,,fff9f9fffffc0000
34,30,5.25,4.88,4.8,11.98,1.02,480.0,180.0,19.92,37.52,115.1,86,-1,1968.0,50.0,89,2.54,6.19,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/copain-amel/pdf"">PDF</a>",1448,02159.jpg,0.56,Amel (FRA),,1970.0,,,,,,,,,,,,,,efefff07c607c381
62,13,8.63,7.16,3.2,33.26,1.07,3402.0,1179.0,15.0,34.67,257.99,86,41,1988.0,7.0,1319,20.28,2.15,1.91,9.3,3.2,10.52,3.51,,,14.88,18.43,15.02,9.83,"<a class="""" href=""https://sailboatdata.com/sailboat/copland-28/pdf"">PDF</a>",1449,02160.jpg,,Copland Boats,,,,,,,,,,,,,,,,ffffc7a3f7f7e300
10,24,4.19,,1.35,7.9,0.71,61.0,,51.7,,,86,-1,1970.0,,1922,,3.45,,,,4.67,2.84,,,,6.64,43.5,,"<a class="""" href=""https://sailboatdata.com/sailboat/copperhead-14/pdf"">PDF</a>",1450,02161.jpg,0.1,Sail MFG (USA),,,,,,,,,,,,,,,,fffbf1f1f33f0000
25,9,10.74,8.89,3.68,60.85,1.52,7257.0,3130.0,16.57,43.13,288.08,217,-1,1981.0,,1484,28.9,1.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/corbin-35/pdf"">PDF</a>",1451,02162.jpg,,Corbin le bateaux (CAN),,,Westerbeke,Diesel,,,,,,,,,,,,f7ffffff810100bf
25,9,12.65,9.75,3.68,75.34,1.68,10342.0,4082.0,16.2,39.47,310.63,216,-1,1979.0,200.0,1885,36.62,1.71,1.61,14.78,5.58,12.8,5.33,,,41.23,34.14,16.21,15.8,"<a class="""" href=""https://sailboatdata.com/sailboat/corbin-39/pdf"">PDF</a>",1452,02163.jpg,,Corbin le bateaux (CAN),,1991.0,Westerbeke,Diesel,33.0,,,,,,,,,,,0000003ffffffd9f
25,9,12.65,9.75,3.68,75.34,1.68,10342.0,4082.0,16.2,39.47,310.63,216,-1,1979.0,200.0,1885,36.62,1.71,1.61,14.78,5.58,12.8,5.33,,,41.23,34.14,16.21,15.8,"<a class="""" href=""https://sailboatdata.com/sailboat/corbin-39/pdf"">PDF</a>",1452,02164.jpg,,Corbin le bateaux (CAN),,1991.0,Westerbeke,Diesel,33.0,,,,,,,,,,,ffe783e781019f0c
25,35,11.81,9.73,3.66,75.34,1.68,10342.0,4173.0,16.2,40.35,312.97,86,-1,1979.0,200.0,1885,37.9,1.7,1.59,14.78,5.58,12.8,5.33,,,41.23,34.14,16.21,15.8,"<a class="""" href=""https://sailboatdata.com/sailboat/corbin-39-cc/pdf"">PDF</a>",1453,02165.jpg,,Corbin Les Bateaux (CAN),,1991.0,Westerbeke,Diesel,,,,,,,,,,,,f7f7b7b300818383
19,13,7.62,7.0,2.5,41.9,1.86,2100.0,1100.0,26.05,52.38,170.55,86,57,2003.0,,1238,18.4,1.97,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/corby-25/pdf"">PDF</a>",1454,02166.jpg,,Lion Yacht,,,,,,,,,,,,,,,,ffffffff74000020
19,30,8.84,7.71,2.87,45.8,1.98,3118.0,1597.0,21.88,51.2,189.52,119,57,2007.0,,449,20.34,1.98,3.39,3.66,12.37,11.7,3.96,,,22.63,23.19,21.89,12.9,"<a class="""" href=""https://sailboatdata.com/sailboat/corby-29/pdf"">PDF</a>",1455,02167.jpg,,,,,,,,,,,,,,,,,,fff7f7e300000000
19,13,10.0,10.0,2.95,58.99,2.2,4250.0,2000.0,22.94,47.05,118.43,86,57,2007.0,,1238,21.46,1.84,4.78,14.02,4.05,13.3,4.6,,,28.4,30.58,22.93,14.59,"<a class="""" href=""https://sailboatdata.com/sailboat/corby-33/pdf"">PDF</a>",1456,02168.jpg,,,,,,,,,,,,,,,,,,fbfbff3c780000c0
8,7,6.1,5.69,1.99,16.72,1.07,680.0,199.0,22.02,29.2,102.9,509,63,2014.0,,154,10.0,2.28,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/core-sound-20-mark-3/pdf"">PDF</a>",1457,02169.jpg,0.23,Various - Kits available,,,,Outboard,,,,,bandbyachtdesigns.com,,,,,,,0064ffffff760000
19,13,13.86,12.24,4.24,112.78,2.9,6937.0,3643.0,31.64,52.51,105.41,400,57,1996.0,,681,16.99,2.25,6.25,18.07,5.44,18.81,6.76,5.44,18.11,49.18,63.58,31.63,18.87,"<a class="""" href=""https://sailboatdata.com/sailboat/corel-45/pdf"">PDF</a>",1458,02170.jpg,,Carroll Marine (USA),3JH2 TE,,Yanmar ,Diesel,47.0,,,,,,,,,,,0050d8faecfed000
19,13,13.86,12.24,4.24,112.78,2.9,6937.0,3643.0,31.64,52.51,105.41,400,57,1996.0,,681,16.99,2.25,6.25,18.07,5.44,18.81,6.76,5.44,18.11,49.18,63.58,31.63,18.87,"<a class="""" href=""https://sailboatdata.com/sailboat/corel-45/pdf"">PDF</a>",1458,02171.jpg,,Carroll Marine (USA),3JH2 TE,,Yanmar ,Diesel,47.0,,,,,,,,,,,f7e7f7f7f7008383
40,13,5.94,4.42,1.98,17.93,0.84,1236.0,499.0,15.87,40.38,398.89,86,57,1966.0,,344,21.73,1.86,1.08,6.86,2.04,7.16,3.05,,,7.0,10.92,15.86,7.16,"<a class="""" href=""https://sailboatdata.com/sailboat/corinthian-19-alberg/pdf"">PDF</a>",1459,02172.jpg,,Sailstar Boats/Bristol Yachts (USA),,,,,,,,,,,,,,,,fff7ffffff000101
40,30,8.46,6.48,2.64,32.33,1.14,3112.0,1089.0,15.47,34.99,319.15,86,57,1967.0,,301,25.73,1.83,1.55,10.16,3.2,8.84,3.96,,,16.26,17.51,16.16,10.65,"<a class="""" href=""https://sailboatdata.com/sailboat/corinthian-28/pdf"">PDF</a>",1460,02173.jpg,,Olympic Yachts Ltd. (CAN),Atomic 4,,Universal,Gas,,114 L,,121 L,,,,,,,,f7e7e3d380018707
58,28,12.5,11.73,7.77,71.63,0.89,6350.0,,21.31,,109.52,86,-1,1965.0,28.0,2092,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/corinthian-41/pdf"">PDF</a>",1461,02174.jpg,,Corinthian Yachts Builders Inc. (USA),,1993.0,Perkins,,50.0,379 L,,379 L,,0.73,,,,14.02,,f7f7f7f7d7df8181
17,13,8.0,7.1,2.49,33.26,1.6,1362.0,630.0,27.59,46.25,106.12,86,57,1994.0,,2134,11.69,2.27,5.89,9.5,3.1,10.0,4.04,5.39,11.02,14.73,20.19,28.97,9.99,"<a class="""" href=""https://sailboatdata.com/sailboat/cork-1720/pdf"">PDF</a>",1462,02175.jpg,,1720  Yachts (UK),,,,,,,,,,,,,,,,1c2e3e3f7c7cf8e0
40,18,8.84,6.81,2.21,55.74,1.4,5443.0,,18.38,,481.14,509,-1,1896.0,10.0,2259,54.43,1.27,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cork-harbor-one-design/pdf"">PDF</a>",1463,02176.jpg,,Carrigaloe Gridiron & Works Co (IRELAND),,,,,,,,,,,,,,,,ffffffff0c1f0000
40,18,8.84,6.81,2.21,55.74,1.4,5443.0,,18.38,,481.14,509,-1,1896.0,10.0,2259,54.43,1.27,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cork-harbor-one-design/pdf"">PDF</a>",1463,02177.jpg,,Carrigaloe Gridiron & Works Co (IRELAND),,,,,,,,,,,,,,,,f7f7f3f3f3fb0001
10,21,3.73,3.73,1.7,8.18,1.07,159.0,,28.38,,85.0,86,-1,1984.0,,1929,4.47,3.17,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cormorant-12/pdf"">PDF</a>",1464,02178.jpg,0.18,Cornish Crabbers Ltd. (UK),,,,,,,,,,,,,,,,ffbfb70000eff000
10,21,3.73,3.73,1.7,8.18,1.07,159.0,,28.38,,85.0,86,-1,1984.0,,1929,4.47,3.17,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cormorant-12/pdf"">PDF</a>",1464,02179.jpg,0.18,Cornish Crabbers Ltd. (UK),,,,,,,,,,,,,,,,fffbf5fdfffffd00
23,13,7.8,6.35,2.5,22.3,1.4,1300.0,580.0,19.08,44.63,141.57,86,-1,1976.0,,1125,12.06,2.31,3.89,7.4,2.65,8.3,3.2,,,9.8,13.28,19.75,7.86,"<a class="""" href=""https://sailboatdata.com/sailboat/cormorant-gt-26/pdf"">PDF</a>",1465,02180.jpg,,Cormorant S.A. Chantier Navals (FRA),,,,,,,,,,,,,,,,ffe301feff8180e3
3,12,7.8,,5.5,37.9,2.7,900.0,,41.44,,,303,-1,1985.0,,644,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/corneel-26/pdf"">PDF</a>",1466,02181.jpg,,Fountaine Pajot (FRA),,,,,,,,,,,,,,,,7f7f4f7f1f010007
9,23,5.18,4.88,2.09,16.54,1.22,885.0,,18.29,,212.53,86,-1,1989.0,,1929,14.18,2.2,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-crabber/pdf"">PDF</a>",1467,02182.jpg,0.48,Cornish Crabbers,,,,,,,,,,,,,,,,efe7c78301c70707
34,19,8.92,6.17,2.44,28.34,1.42,2087.0,,17.69,,247.31,353,-1,1974.0,,1929,19.41,1.93,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-crabber-24-mk-i/pdf"">PDF</a>",1468,02183.jpg,0.74,Cornish Crabber (UK),,,Sole,Diesel,9.0,,,,,,,,,,,ffdf8f8f830101c3
34,19,8.92,6.17,2.44,28.34,1.42,2087.0,,17.69,,247.31,353,-1,1974.0,,1929,19.41,1.93,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-crabber-24-mk-i/pdf"">PDF</a>",1468,02184.jpg,0.74,Cornish Crabber (UK),,,Sole,Diesel,9.0,,,,,,,,,,,fffff7ff0101e7c3
40,18,7.47,6.32,2.59,36.88,1.07,3550.0,1497.0,16.17,42.17,391.05,353,80,1991.0,,1929,31.96,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-crabber-24-mk3/pdf"">PDF</a>",1469,02185.jpg,,Cornish Crabbers Ltd. (UK),1GM10,2014.0,Yanmar,Diesel,10.0,,1.78,,,,,,,,,e7f7a79f1f0f1011
34,18,7.32,6.66,2.66,32.62,1.4,2250.0,,19.37,,212.27,353,41,2017.0,,104,19.0,2.05,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-crabber-24-mk5/pdf"">PDF</a>",1470,02186.jpg,0.73,Cornish Crabbers Ltd. (UK),2YM15,,Yanmar,Diesel,14.0,43 L,,100 L,,,,,,,,e1c1c18100997f60
34,18,7.32,6.66,2.66,32.62,1.4,2250.0,,19.37,,212.27,353,41,2017.0,,104,19.0,2.05,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-crabber-24-mk5/pdf"">PDF</a>",1470,02187.jpg,0.73,Cornish Crabbers Ltd. (UK),2YM15,,Yanmar,Diesel,14.0,43 L,,100 L,,,,,,,,81e1f9838383efff
34,18,7.99,7.24,2.76,44.0,2.0,4000.0,1722.0,17.81,43.05,293.85,353,76,2010.0,,507,29.55,1.76,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-crabber-26/pdf"">PDF</a>",1471,02188.jpg,0.8,Cornish Crabbers Ltd. (UK),3YM20,,Yanmar,Diesel,19.0,61 L,1.85,250 L,,,,,,,,0078183cfffe3cfe
34,18,7.99,7.24,2.76,44.0,2.0,4000.0,1722.0,17.81,43.05,293.85,353,76,2010.0,,507,29.55,1.76,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-crabber-26/pdf"">PDF</a>",1471,02189.jpg,0.8,Cornish Crabbers Ltd. (UK),3YM20,,Yanmar,Diesel,19.0,61 L,1.85,250 L,,,,,,,,fff7ffc3834101ff
34,19,11.88,7.85,2.89,55.74,1.6,6350.0,2495.0,16.59,39.29,366.06,86,-1,1985.0,,1929,36.39,1.58,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-crabber-pilot-30/pdf"">PDF</a>",1472,02190.jpg,1.07,Cornish Crabbers Ltd. (UK),3GM,,Yanmar,Diesel,27.0,103 L,,,,,,,,,,f0fcffffffff0000
34,23,5.87,5.33,2.19,18.02,1.22,1066.0,318.0,17.6,29.79,195.75,353,-1,1979.0,1000.0,1929,14.6,2.16,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-shrimper-19/pdf"">PDF</a>",1473,02191.jpg,0.46,Cornish Crabbers (UK),1GM,,Yanmar (opt.),Diesel,,,,,,,,,,,,ffffffdfaf070000
34,23,5.87,5.33,2.19,18.02,1.22,1066.0,318.0,17.6,29.79,195.75,353,-1,1979.0,1000.0,1929,14.6,2.16,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-shrimper-19/pdf"">PDF</a>",1473,02192.jpg,0.46,Cornish Crabbers (UK),1GM,,Yanmar (opt.),Diesel,,,,,,,,,,,,efc7838101fffff3
34,29,7.47,6.32,2.59,35.21,1.52,3550.0,,15.43,,392.19,86,-1,1988.0,,1929,31.97,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cornish-yawl/pdf"">PDF</a>",1474,02193.jpg,0.91,Cornish Crabbers Ltd. (UK),,,Beta,Diesel,12.0,42 L,1.91,83 L,,,,,,,,ffe7e38181e3e7c3
62,26,6.32,4.95,2.18,18.21,0.66,907.0,380.0,19.8,41.9,208.08,86,41,1982.0,,1906,12.75,2.28,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/coromandel/pdf"">PDF</a>",1475,02194.jpg,,Newbridge Boats Ltd. (UK),,,,,,,,,,,,,,,,ffe7e7e70000c200
10,13,4.67,,1.73,12.91,1.12,175.0,,42.07,,,86,-1,1968.0,3800.0,713,,3.12,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-15/pdf"">PDF</a>",1476,02195.jpg,0.1,Catalina Yachts (USA),,,,,,,,,,,,,,,,b0fbf9fbffff0400
10,13,4.67,,1.73,12.91,1.12,175.0,,42.07,,,86,-1,1968.0,3800.0,713,,3.12,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-15/pdf"">PDF</a>",1476,02196.jpg,0.1,Catalina Yachts (USA),,,,,,,,,,,,,,,,fbf3fbc3808380f7
23,30,6.88,6.12,2.36,22.02,0.97,1043.0,499.0,21.81,47.83,126.82,86,-1,1969.0,,2252,11.15,2.35,4.49,8.1,2.74,7.16,3.12,,,11.11,11.19,22.1,8.55,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-23/pdf"">PDF</a>",1477,02197.jpg,,Coronado Yachts (USA),,1973.0,,,,,,,,,,,,,,ffe7f7f700018303
24,30,6.88,6.1,2.41,20.25,,1134.0,367.0,18.98,32.4,139.51,86,91,1974.0,,51,11.81,2.34,3.82,7.87,2.79,6.58,2.82,,,10.98,9.27,18.98,8.35,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-23-2/pdf"">PDF</a>",1478,02198.jpg,0.59,Coronado Yachts (USA),,1976.0,,,,,,,,,,,,,,ffffffffff000000
23,30,7.62,6.11,2.44,27.78,1.12,2041.0,975.0,17.6,47.78,249.24,86,57,1966.0,,604,20.23,1.94,2.28,9.6,2.74,8.46,3.63,,,13.17,15.34,18.06,9.99,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-25/pdf"">PDF</a>",1479,02199.jpg,,Coronado Yachts (USA),,1975.0,,,,,,,,,,,,,,e3ff8393ff87e0e0
23,30,7.62,6.11,2.44,27.78,1.12,2041.0,975.0,17.6,47.78,249.24,86,57,1966.0,,604,20.23,1.94,2.28,9.6,2.74,8.46,3.63,,,13.17,15.34,18.06,9.99,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-25/pdf"">PDF</a>",1479,02200.jpg,,Coronado Yachts (USA),,1975.0,,,,,,,,,,,,,,fff7ffc1c3238301
23,30,8.13,6.71,2.59,28.06,1.65,2835.0,1157.0,14.28,40.8,262.04,86,41,1970.0,,2281,23.86,1.85,1.81,9.88,3.28,8.23,2.9,,,16.18,11.91,14.3,10.4,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-27/pdf"">PDF</a>",1480,02201.jpg,,Coronado Yachts (USA),,1973.0,Westerbeke,Diesel,6.0,34 L,,,,,,,,,,f7e7fff70000f383
31,30,8.13,6.71,2.59,28.8,1.88,2835.0,1179.0,14.66,41.6,262.04,86,41,1970.0,,2281,23.86,1.85,1.84,9.6,3.2,8.02,3.35,,,15.36,13.44,14.66,10.12,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-27-cb/pdf"">PDF</a>",1481,02202.jpg,0.99,Coronado Yachts (USA),,,Westerbeke,Diesel,6.0,,,,,,,,,,,e700c30081eff7ff
23,30,8.53,6.75,2.59,34.0,1.47,3084.0,1270.0,16.37,41.18,278.97,86,57,1974.0,,2252,25.4,1.8,1.86,10.36,3.79,8.33,3.45,,,19.62,14.38,16.36,11.03,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-28/pdf"">PDF</a>",1482,02203.jpg,,Coronado Yachts (USA),,1975.0,Universal,Gas,,38 L,,68 L,,,,,,,,f7f7f7f70001f781
23,30,9.12,7.32,3.07,37.9,1.62,3856.0,1225.0,15.72,31.76,274.5,86,57,1969.0,,690,23.54,1.97,1.84,11.51,3.66,9.6,3.51,,,21.04,16.83,15.71,12.07,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-30/pdf"">PDF</a>",1483,02204.jpg,,Coronado Yachts (USA),,1974.0,,,,,,,,,,,,,,f7f7ff8000ff83c3
25,30,9.73,8.23,2.9,37.9,1.78,5352.0,2313.0,12.64,43.22,267.63,87,57,1973.0,,2268,31.92,1.67,1.71,11.58,4.11,9.97,3.51,,,23.83,17.47,13.77,12.29,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-32/pdf"">PDF</a>",1484,02205.jpg,1.19,Coronado Yachts (USA),,1974.0,,,,,,,,,,,,,,f7f7f7f70000ffe7
23,30,10.56,8.59,3.05,48.4,1.52,4763.0,1950.0,17.44,40.95,209.69,86,-1,1966.0,,2281,25.09,1.83,2.64,12.57,4.01,10.13,4.57,,,25.22,23.17,17.44,13.2,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-34/pdf"">PDF</a>",1485,02206.jpg,,Coronado Yachts (USA),,1974.0,,,,,,,,,,,,,,f7e7c7f7a700c303
25,28,10.74,8.38,3.07,42.18,1.68,5897.0,2132.0,13.19,36.15,279.06,86,-1,1971.0,,2281,31.03,1.72,1.57,11.58,4.21,9.75,3.66,,,24.36,17.84,13.19,12.32,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-35/pdf"">PDF</a>",1486,02207.jpg,,Coronado Yachts (USA),P-60,1976.0,Palmer,Gas,,110 L,,110 L,,,,,,,,20307e7e7f7f2400
25,28,10.74,8.38,3.07,42.18,1.68,5897.0,2132.0,13.19,36.15,279.06,86,-1,1971.0,,2281,31.03,1.72,1.57,11.58,4.21,9.75,3.66,,,24.36,17.84,13.19,12.32,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-35/pdf"">PDF</a>",1486,02208.jpg,,Coronado Yachts (USA),P-60,1976.0,Palmer,Gas,,110 L,,110 L,,,,,,,,f7f7f781838183c3
25,30,10.74,8.38,3.07,46.45,1.68,5897.0,2132.0,14.52,36.15,279.06,86,-1,1971.0,,2281,31.03,1.72,1.7,12.19,4.21,10.36,4.02,,,25.64,20.85,14.53,12.9,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-35-ms/pdf"">PDF</a>",1487,02209.jpg,,Coronado Yachts (USA),P-60,1976.0,Palmer,Gas,,110 L,,110 L,,,,,,,,fff08090fe8080e0
25,30,12.34,9.65,3.43,59.37,1.91,8845.0,3856.0,14.17,43.59,274.06,86,-1,1972.0,,2268,34.96,1.68,1.7,13.72,5.18,11.58,4.11,,,35.54,23.83,14.17,14.66,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-41/pdf"">PDF</a>",1488,02210.jpg,,Coronado Yachts (USA),P-60,1975.0,Palmer,Gas,35.0,,,,,,,,,,,fffffffffffffe00
25,30,13.79,10.49,3.76,75.44,1.31,11340.0,5579.0,15.26,49.2,273.69,86,41,1974.0,,2281,36.15,1.69,1.81,15.88,5.56,13.72,4.57,,,44.14,31.35,15.27,16.83,"<a class="""" href=""https://sailboatdata.com/sailboat/coronado-45/pdf"">PDF</a>",1489,02211.jpg,,Coronado Yachts (USA),,1975.0,Perkins,Diesel,50.0,265 L,,379 L,,,,,,,,ffffffffffffc000
34,13,6.1,5.1,2.29,16.44,1.22,826.0,321.0,19.03,38.88,173.61,86,-1,1972.0,,1066,10.83,2.46,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/coronet-20/pdf"">PDF</a>",1490,02212.jpg,0.45,Kempthorne Boats (NZ),,,,,,,,,,,,,,7.47,,ffff7f3f1e000100
34,13,6.1,5.1,2.29,16.44,1.22,826.0,321.0,19.03,38.88,173.61,86,-1,1972.0,,1066,10.83,2.46,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/coronet-20/pdf"">PDF</a>",1490,02213.jpg,0.45,Kempthorne Boats (NZ),,,,,,,,,,,,,,7.47,,f7f7e7ffdff70081
34,30,7.62,6.1,2.49,18.95,1.37,1340.0,446.0,15.89,33.28,164.6,86,57,1972.0,,1066,12.93,2.28,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/coronet-25/pdf"">PDF</a>",1491,02214.jpg,0.53,Salthouse Bros. Ltd. (AUS),,,,,,,,,,,,,,8.53,,ffc00083ff0783ff
34,13,6.17,4.42,1.91,,0.99,508.0,189.0,,37.14,164.01,548,-1,1963.0,,1906,9.28,2.41,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/corribee-mki/pdf"">PDF</a>",1492,02215.jpg,0.59,Mallon Boats (IRE),,,,,,,,,,,,,,,,f7e7e7ffff008181
62,30,6.32,4.95,2.19,14.49,0.91,907.0,399.0,15.76,44.0,208.08,634,41,1975.0,,1906,12.73,2.28,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/corribee-mkii/pdf"">PDF</a>",1493,02216.jpg,,Newbridge Boats Ltd. (UK),,1980.0,,,,,,,,,,,,,,efe7efef81c1c101
62,30,6.32,4.95,2.18,14.68,0.66,907.0,399.0,15.96,44.0,208.08,86,41,1982.0,,1906,12.75,2.28,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/corribee-mkiii/pdf"">PDF</a>",1494,02217.jpg,,Newbridge Boats Ltd. (UK),,,,,,,,,,,,,,,,ffffffff4e000000
62,30,6.32,4.95,2.18,14.68,0.66,907.0,399.0,15.96,44.0,208.08,86,41,1982.0,,1906,12.75,2.28,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/corribee-mkiii/pdf"">PDF</a>",1494,02218.jpg,,Newbridge Boats Ltd. (UK),,,,,,,,,,,,,,,,efe7e7ff4580c1c8
