Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
4,13,14.62,14.62,7.15,106.0,2.05,8700.0,,25.57,,77.57,89,-1,2017.0,,157,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/outremer-45-2/pdf"">PDF</a>",4724,07025.jpg,0.9,1995,-1,,-1,12,94,-1,,-1,-1,0.84,,,,20.0,
4,27,3.71,3.61,1.98,8.36,0.61,73.0,,48.89,,43.14,89,-1,1961.0,17000.0,137,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/aqua-cat-12/pdf"">PDF</a>",262,00380.jpg,0.13,131,-1,,-1,-1,-1,-1,,-1,-1,1.29,,,,,
36,13,7.85,7.3,2.52,32.52,2.0,850.0,487.0,36.92,57.31,60.9,89,52,2010.0,25.0,1403,7.09,2.69,8.35,9.65,3.0,10.0,3.6,3.7,11.2,14.47,18.0,36.87,10.11,"<a class="""" href=""https://sailboatdata.com/sailboat/x-treme-25/pdf"">PDF</a>",7031,10381.jpg,0.61,1036,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,10.82,8.23,3.15,55.74,1.74,5080.0,2041.0,19.24,40.18,254.03,89,52,1966.0,,316,26.12,1.85,2.34,12.8,4.42,11.06,4.97,,,28.29,27.48,19.25,13.54,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-36/pdf"">PDF</a>",862,01292.jpg,,1381,320,,133,48,115,58,,164,-1,,,,,,
23,30,8.25,6.48,2.82,31.96,1.32,3311.0,1406.0,14.67,42.47,339.62,89,-1,1976.0,240.0,49,25.34,1.91,1.31,10.61,3.63,8.99,2.83,,,19.24,12.74,14.68,11.21,"<a class="""" href=""https://sailboatdata.com/sailboat/columbia-83/pdf"">PDF</a>",1281,01912.jpg,,627,320,1981.0,133,48,115,-1,,-1,-1,,,,,,
23,30,10.06,8.05,3.2,46.64,1.68,4627.0,,17.14,,246.92,89,52,1975.0,42.0,293,24.23,1.94,2.21,13.11,4.27,11.35,3.28,,,27.96,18.6,17.11,13.78,"<a class="""" href=""https://sailboatdata.com/sailboat/baltic-33/pdf"">PDF</a>",410,00599.jpg,,252,451,1980.0,143,12,-1,-1,,-1,-1,,,,,,
23,13,7.57,5.46,2.5,17.74,1.39,1350.0,452.0,14.81,33.47,231.26,89,52,1977.0,12.0,1284,13.95,2.28,2.12,7.4,2.24,8.4,2.24,,,8.29,9.41,14.77,7.73,"<a class="""" href=""https://sailboatdata.com/sailboat/glass-onion/pdf"">PDF</a>",2617,03892.jpg,,917,-1,1984.0,-1,-1,-1,-1,,-1,-1,,,,,,
23,13,9.62,8.26,3.3,56.3,1.71,4500.0,2000.0,21.07,44.44,222.54,89,52,1992.0,356.0,793,22.58,2.02,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-31/pdf"">PDF</a>",2792,04141.jpg,,1134,28,2009.0,150,12,-1,262,1.86,108,-1,,,,,14.8,
23,30,15.42,12.27,4.47,104.14,2.6,14000.0,5800.0,18.3,41.43,211.3,89,52,1990.0,33.0,595,30.78,1.87,2.72,19.2,6.02,17.37,5.33,,,57.8,46.34,18.3,20.12,"<a class="""" href=""https://sailboatdata.com/sailboat/centurion-49/pdf"">PDF</a>",1102,01652.jpg,,1172,-1,1994.0,98,12,-1,167,,368,-1,,,,,,
19,30,11.0,9.75,3.43,62.99,2.31,4751.0,,22.74,,142.71,194,-1,1998.0,,1535,19.4,2.06,4.27,15.06,4.25,13.18,4.71,,,31.97,31.05,22.75,15.65,"<a class="""" href=""https://sailboatdata.com/sailboat/sydney-36/pdf"">PDF</a>",6291,09328.jpg,,2598,-1,2008.0,-1,12,-1,-1,,-1,-1,,,,,,
25,30,12.34,9.75,3.43,59.37,1.93,9299.0,3856.0,13.7,41.46,279.29,89,-1,1972.0,86.0,2222,36.51,1.65,1.62,13.72,5.18,11.58,4.11,,,35.54,23.83,13.7,14.66,"<a class="""" href=""https://sailboatdata.com/sailboat/columbia-41/pdf"">PDF</a>",1269,01893.jpg,,625,-1,,98,12,-1,201,,194,-1,,,,,15.37,
25,30,9.75,8.3,3.28,43.66,1.8,4600.0,,16.11,,224.23,89,-1,1979.0,,834,23.1,1.99,2.34,12.77,3.93,11.1,3.35,,,25.09,18.59,16.11,13.36,"<a class="""" href=""https://sailboatdata.com/sailboat/comet-1000/pdf"">PDF</a>",1300,01944.jpg,,643,-1,1983.0,37,12,45,-1,,-1,-1,,,,,,
23,30,8.5,7.45,3.2,44.04,1.7,3000.0,1000.0,21.59,33.34,202.26,89,39,1984.0,313.0,1718,17.51,2.24,2.59,11.19,3.35,9.24,3.12,,,18.76,14.44,16.28,11.68,"<a class="""" href=""https://sailboatdata.com/sailboat/feeling-850/pdf"">PDF</a>",2288,03395.jpg,,1465,-1,1988.0,143,12,-1,154,,76,-1,,,,,,
36,13,6.4,5.69,2.49,26.01,1.55,1225.0,349.0,23.16,28.52,185.22,89,-1,1978.0,,-1,13.15,2.35,3.11,7.62,2.74,7.01,3.05,,,10.45,10.68,18.82,8.1,"<a class="""" href=""https://sailboatdata.com/sailboat/mistral-t-21/pdf"">PDF</a>",4080,06076.jpg,0.35,1765,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,13,8.53,7.16,2.49,34.56,1.68,2585.0,,18.71,,196.08,89,-1,1977.0,32.0,2020,21.6,1.83,2.95,10.15,3.35,10.97,3.2,,,17.02,17.56,18.72,10.69,"<a class="""" href=""https://sailboatdata.com/sailboat/hawkfarm-28/pdf"">PDF</a>",2922,04362.jpg,,-1,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
15,13,6.58,5.79,2.44,19.14,0.89,1034.0,408.0,19.07,39.47,148.4,89,-1,1977.0,,1947,11.16,2.43,3.68,7.32,2.67,7.01,2.67,,,9.75,9.35,19.04,7.79,"<a class="""" href=""https://sailboatdata.com/sailboat/windrose-22-s/pdf"">PDF</a>",6947,10254.jpg,,1502,-1,1987.0,-1,-1,-1,-1,1.88,-1,-1,,,,,,
10,13,4.8,,1.8,11.98,0.79,136.0,,46.1,,,89,-1,1977.0,1100.0,272,,3.54,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/apollo-16/pdf"">PDF</a>",258,00375.jpg,0.15,150,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,10.3,8.6,3.35,49.98,1.95,5100.0,1700.0,17.21,33.34,223.58,89,-1,1989.0,,14,23.88,1.97,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/comet-333/pdf"">PDF</a>",1315,01966.jpg,,641,-1,1990.0,78,12,115,313,,102,-1,,,,,,
23,30,9.39,7.39,3.05,39.95,1.75,3601.0,1646.0,17.35,45.7,248.81,89,39,1977.0,750.0,617,21.79,2.01,2.22,12.3,3.5,11.33,3.25,,,21.52,18.41,17.33,12.79,"<a class="""" href=""https://sailboatdata.com/sailboat/granada-31/pdf"">PDF</a>",2663,03957.jpg,,1063,549,1982.0,150,12,19,-1,,-1,-1,,,,,,
12,27,4.12,,1.22,7.43,0.85,43.0,,61.5,,,1,-1,1969.0,,-1,,3.51,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/surfwind-sears/pdf"">PDF</a>",6208,09197.jpg,0.1,2410,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
25,30,11.43,8.38,3.2,57.41,1.73,6314.0,2722.0,17.15,43.1,298.81,89,52,1968.0,28.0,1972,30.78,1.75,1.77,13.72,4.57,12.19,4.27,,,31.35,26.01,17.14,14.46,"<a class="""" href=""https://sailboatdata.com/sailboat/hinckley-38/pdf"">PDF</a>",2965,04423.jpg,,1181,-1,1970.0,-1,-1,-1,-1,,-1,-1,,,,,,
45,13,3.22,,1.27,5.2,0.75,54.0,,37.05,,,582,-1,1947.0,8000.0,1081,,3.39,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cadet-int/pdf"">PDF</a>",832,01243.jpg,0.17,-1,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,8.51,7.03,3.0,33.54,1.52,3175.0,1361.0,15.83,42.86,254.18,173,52,1975.0,430.0,1855,21.01,2.06,2.02,11.22,3.6,9.5,2.79,,,20.17,13.26,15.78,11.78,"<a class="""" href=""https://sailboatdata.com/sailboat/islander-28/pdf"">PDF</a>",3338,04993.jpg,,1324,320,1985.0,133,48,115,302,,377,-1,,,,,,
25,9,14.33,12.27,4.42,92.44,1.83,15876.0,5296.0,14.94,33.36,239.62,89,-1,1991.0,,1855,36.35,1.78,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/tayana-47-ds/pdf"">PDF</a>",6396,09480.jpg,,2614,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
19,13,12.16,10.6,3.75,84.0,2.0,7300.0,2500.0,22.78,34.25,170.78,370,52,2014.0,,1660,24.21,1.95,3.53,15.95,4.42,15.87,5.15,,,35.25,40.88,20.64,16.55,"<a class="""" href=""https://sailboatdata.com/sailboat/maxi-1200/pdf"">PDF</a>",3938,05874.jpg,,1703,346,,143,12,77,76,,146,-1,,,,,18.95,
19,14,14.86,13.2,4.4,126.0,2.39,11600.0,,25.1,,140.54,83,-1,2001.0,,527,25.13,1.96,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/carrera-49/pdf"">PDF</a>",982,01471.jpg,,1166,-1,,78,35,176,112,,205,-1,,,,,,
19,15,11.27,9.7,3.3,61.5,1.85,5600.0,2175.0,19.9,38.84,171.07,89,52,2020.0,,1570,23.95,1.88,,,3.9,13.0,4.5,,,,29.24,9.46,,"<a class="""" href=""https://sailboatdata.com/sailboat/faurby-370/pdf"">PDF</a>",2260,03346.jpg,,957,343,,150,40,45,275,1.92,70,-1,,,,,16.0,
40,23,6.88,5.18,2.13,28.24,1.01,545.0,,43.11,,109.22,556,-1,1898.0,10.0,2148,7.44,2.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/howth-17/pdf"">PDF</a>",3030,04522.jpg,,-1,-1,,-1,-1,-1,-1,,-1,21,,,,,,
25,30,9.09,7.32,2.84,34.0,1.58,3221.0,953.0,15.9,29.58,229.29,89,-1,1970.0,,601,21.76,1.94,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/ohlson-29/pdf"">PDF</a>",4666,06935.jpg,,386,546,1975.0,150,12,0,154,,145,-1,,,,,,
51,30,5.5,4.9,2.1,18.58,1.0,580.0,180.0,27.21,31.04,137.33,89,-1,1966.0,2100.0,1471,9.06,2.54,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/edel-2/pdf"">PDF</a>",1934,02853.jpg,0.5,858,-1,1982.0,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,7.2,6.1,2.4,30.57,1.15,1678.0,839.0,22.06,50.0,206.47,89,52,1966.0,,2178,17.36,2.04,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hood-23/pdf"">PDF</a>",3019,04506.jpg,,2556,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
25,30,12.8,9.75,3.73,70.42,2.11,9979.0,4082.0,15.51,40.91,299.73,89,52,1980.0,34.0,1972,34.53,1.75,1.63,16.46,5.11,14.33,3.96,,,42.02,28.38,15.5,17.23,"<a class="""" href=""https://sailboatdata.com/sailboat/tartan-42/pdf"">PDF</a>",6367,09439.jpg,,2627,-1,1984.0,165,12,-1,151,,289,-1,,,,,,
34,9,18.54,15.16,5.33,157.94,4.11,23133.0,8165.0,19.87,35.29,184.9,89,52,1989.0,,-1,32.85,1.89,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/windship-60/pdf"">PDF</a>",6952,10260.jpg,1.68,2926,102,,21,12,65,107,,61,-1,,,,,,
25,9,13.44,10.22,3.86,90.21,1.91,12474.0,4990.0,17.12,40.0,325.38,89,-1,1990.0,,2195,39.36,1.68,1.57,16.96,5.89,14.68,5.49,,,49.95,40.28,17.12,17.95,"<a class="""" href=""https://sailboatdata.com/sailboat/pacific-seacraft-44/pdf"">PDF</a>",4815,07163.jpg,,2038,225,,176,12,157,137,,202,-1,,,,,,
31,30,12.24,9.85,3.45,71.16,3.45,10886.0,5670.0,14.79,52.08,317.06,89,52,1976.0,19.0,2036,42.18,1.57,1.46,16.15,5.12,14.17,4.19,,,41.36,29.7,14.77,16.95,"<a class="""" href=""https://sailboatdata.com/sailboat/gulfstar-40-hood/pdf"">PDF</a>",2739,04062.jpg,1.19,1118,180,1978.0,98,12,157,130,,230,-1,,,,,,
25,13,12.1,9.48,2.51,43.76,1.75,4700.0,2235.0,15.91,47.56,153.77,89,52,1976.0,200.0,996,28.59,1.52,3.15,11.05,3.55,12.7,3.8,,,19.62,24.14,15.91,11.61,"<a class="""" href=""https://sailboatdata.com/sailboat/lady-helmsman/pdf"">PDF</a>",3561,05317.jpg,,1164,550,,150,12,19,-1,,-1,-1,,,,,,
19,13,16.2,14.6,4.91,134.43,2.8,18700.0,5800.0,19.48,31.02,167.46,89,52,2008.0,,1277,31.8,1.87,3.44,21.25,6.09,21.45,6.5,,,64.71,69.72,19.48,22.11,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-545/pdf"">PDF</a>",2884,04306.jpg,,1149,-1,,176,12,9,197,,316,-1,,,,,26.27,
23,13,7.28,6.71,2.38,29.91,1.35,1500.0,660.0,23.27,44.0,138.46,89,-1,1982.0,6.0,884,14.65,2.1,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/larsen-232/pdf"">PDF</a>",3626,05407.jpg,,1947,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
34,30,7.01,6.2,2.44,21.74,1.45,1225.0,435.0,19.36,35.56,143.45,89,52,1975.0,,152,12.37,2.3,3.85,8.53,2.9,7.32,2.67,,,12.36,9.75,19.69,9.01,"<a class="""" href=""https://sailboatdata.com/sailboat/san-juan-23/pdf"">PDF</a>",5400,08025.jpg,0.59,594,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
51,30,6.86,5.54,2.51,25.08,1.58,2087.0,862.0,15.66,41.3,342.33,89,-1,1971.0,,1860,21.96,1.99,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/matilda-23/pdf"">PDF</a>",3925,05856.jpg,0.61,1997,-1,,-1,-1,-1,-1,,195,-1,,,,,,
19,13,14.62,12.9,4.25,114.92,2.6,11100.0,3600.0,23.57,32.43,144.13,163,-1,2015.0,,245,25.72,1.92,3.96,16.13,5.36,18.23,6.25,,,43.23,56.94,20.55,16.99,"<a class="""" href=""https://sailboatdata.com/sailboat/grand-soleil-47/pdf"">PDF</a>",2687,03990.jpg,,456,-1,,143,12,163,130,,187,-1,,,,,,
25,30,14.02,9.74,3.94,66.89,2.13,10659.0,,14.1,,321.37,89,-1,1972.0,,962,33.25,1.81,1.38,14.63,5.18,12.95,4.48,,,37.9,29.02,14.1,15.52,"<a class="""" href=""https://sailboatdata.com/sailboat/bowman-46-corsair/pdf"">PDF</a>",701,01049.jpg,,364,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
19,30,12.19,10.8,3.91,60.57,1.65,8701.0,2400.0,14.61,27.59,192.72,89,-1,1991.0,430.0,833,26.93,1.92,2.49,14.68,4.09,12.88,4.75,,,30.02,30.58,14.62,15.24,"<a class="""" href=""https://sailboatdata.com/sailboat/oceanis-400-beneteau/pdf"">PDF</a>",4608,06843.jpg,,299,225,1997.0,176,12,140,77,,252,-1,,,,,16.15,
8,13,8.03,7.0,2.55,30.0,1.35,2100.0,500.0,18.65,23.8,170.55,89,-1,2019.0,,1072,17.6,2.01,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/maxus-24-evo-cb/pdf"">PDF</a>",3967,05918.jpg,0.32,1926,-1,,-1,62,0,-1,1.88,-1,-1,,,,,9.5,
25,30,10.8,9.8,3.6,58.99,1.75,6600.0,2500.0,17.11,37.88,195.47,89,-1,1980.0,,1501,25.33,1.94,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/shogun-cnso/pdf"">PDF</a>",5685,08423.jpg,,610,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,9.45,7.92,3.4,,1.24,4491.0,1696.0,,37.78,251.46,89,-1,1985.0,,703,22.36,2.08,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/compromis-909/pdf"">PDF</a>",1364,02035.jpg,,1356,65,,176,12,45,286,,141,-1,,,,,,
23,30,8.28,6.86,2.84,33.17,1.28,3130.0,1247.0,15.81,39.86,270.43,89,-1,1970.0,,330,22.78,1.96,1.88,10.67,3.57,8.99,3.14,,,19.02,14.11,15.79,11.25,"<a class="""" href=""https://sailboatdata.com/sailboat/gulf-27/pdf"">PDF</a>",2723,04039.jpg,,482,-1,,0,-1,33,-1,,-1,-1,,,,,,
34,13,7.92,7.37,2.51,22.3,1.27,1315.0,454.0,18.93,34.48,91.69,89,-1,1988.0,,2028,10.9,2.32,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/nimble-25-arctic/pdf"">PDF</a>",4458,06620.jpg,0.41,1881,-1,1993.0,-1,-1,-1,-1,,-1,-1,,,,,,
25,9,14.33,12.19,4.22,102.19,1.91,13608.0,4990.0,18.3,36.67,209.26,89,52,1981.0,17.0,1855,33.31,1.78,2.57,17.83,6.1,16.15,4.88,,,54.35,39.39,16.79,18.84,"<a class="""" href=""https://sailboatdata.com/sailboat/valiant-47/pdf"">PDF</a>",6643,09821.jpg,,2761,-1,1992.0,165,12,166,224,,308,-1,,,,,,
23,30,14.2,11.66,3.8,113.34,2.35,11500.0,4000.0,22.71,34.78,202.25,89,-1,1987.0,122.0,834,33.38,1.7,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/comet-460/pdf"">PDF</a>",1319,01972.jpg,,641,-1,1993.0,-1,12,-1,97,,194,-1,,,,,,
34,30,8.11,5.94,2.44,24.99,1.45,1769.0,726.0,17.42,41.03,234.81,89,52,1982.0,22.0,734,17.46,2.04,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/victoria-26-mcvay/pdf"">PDF</a>",6721,09932.jpg,0.76,2803,661,1982.0,85,71,33,215,,90,-1,,,,,,
25,30,9.5,7.14,2.84,35.86,1.4,4763.0,2546.0,12.92,53.46,364.91,89,-1,1971.0,110.0,2097,32.19,1.71,1.06,11.03,3.75,9.05,3.35,,,20.68,15.18,12.92,11.65,"<a class="""" href=""https://sailboatdata.com/sailboat/contest-31/pdf"">PDF</a>",1406,02099.jpg,,662,534,1974.0,150,12,74,-1,,-1,-1,,,,,,
36,13,6.56,,2.42,22.3,,766.0,250.0,27.13,32.62,,89,52,1980.0,120.0,2002,,2.67,,5.95,2.4,7.77,3.9,,,7.14,15.14,27.11,6.42,"<a class="""" href=""https://sailboatdata.com/sailboat/castle-650/pdf"">PDF</a>",1004,01499.jpg,0.3,2977,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
10,13,4.27,,,,,54.0,,,,,582,-1,1958.0,,1079,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/skate/pdf"">PDF</a>",5736,08500.jpg,,-1,-1,,-1,-1,-1,-1,,-1,100,,,,,,
56,12,8.7,,6.9,56.95,1.8,1900.0,,37.85,,,89,-1,2010.0,,1742,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/bandit-870/pdf"">PDF</a>",440,00652.jpg,0.45,1807,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
34,13,7.92,6.63,2.31,39.21,1.68,2744.0,1724.0,20.4,62.81,262.5,506,-1,1912.0,,1547,27.33,1.67,2.35,9.85,2.65,9.42,5.55,,,13.05,26.12,20.38,10.2,"<a class="""" href=""https://sailboatdata.com/sailboat/alerion/pdf"">PDF</a>",112,00170.jpg,0.74,1194,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
25,28,19.2,15.7,4.93,134.71,2.08,30844.0,10433.0,13.99,33.82,222.25,89,52,1986.0,,1751,46.96,1.59,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/gulfstar-63/pdf"">PDF</a>",2752,04085.jpg,,1119,-1,,-1,72,-1,-1,,-1,-1,,,,,,
25,30,10.36,8.74,3.4,49.33,1.68,6169.0,2132.0,14.96,34.56,257.64,89,52,1975.0,,2030,27.91,1.88,1.91,13.26,4.27,11.51,3.66,,,28.29,21.04,14.96,13.93,"<a class="""" href=""https://sailboatdata.com/sailboat/aloha-34/pdf"">PDF</a>",162,00242.jpg,,1997,-1,,139,12,76,349,2.01,127,-1,,,,,16.46,
34,4,6.1,5.64,2.31,23.5,1.91,998.0,220.0,23.99,22.05,155.12,505,-1,,,1686,12.08,2.33,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/mystic-ali-cat/pdf"">PDF</a>",4257,06325.jpg,0.61,1530,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
5,12,13.3,,7.4,69.96,1.15,10800.0,,14.61,,,148,-1,2012.0,259.0,176,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/helia-44/pdf"">PDF</a>",2928,04371.jpg,,1009,-1,2018.0,143,23,199,222,,334,-1,,,,,,
40,30,12.44,8.53,3.12,67.35,1.75,8528.0,3663.0,16.47,42.95,382.33,89,52,1961.0,50.0,1714,41.1,1.54,1.19,14.17,4.72,12.34,5.49,,,33.48,33.86,16.47,14.94,"<a class="""" href=""https://sailboatdata.com/sailboat/rhodes-41-pearson/pdf"">PDF</a>",5189,07718.jpg,,2064,-1,1967.0,-1,-1,-1,-1,,-1,-1,,,,,,
19,13,19.2,17.55,5.5,184.23,2.8,21000.0,6500.0,24.72,30.95,108.27,89,-1,2017.0,,2104,25.67,2.01,,,18.3,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/dufour-63/pdf"">PDF</a>",1867,02756.jpg,,823,-1,,143,12,48,317,,343,-1,,,,,,
34,9,7.92,6.71,2.44,29.73,1.47,2155.0,,18.17,,199.15,89,-1,1978.0,70.0,1780,19.82,1.91,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/ranger-26-richards/pdf"">PDF</a>",5125,07626.jpg,0.71,2197,-1,,-1,-1,-1,-1,,171,-1,,,,,,
25,30,12.3,10.4,3.9,68.3,2.0,10161.0,,14.86,,251.76,473,-1,1985.0,,503,32.27,1.82,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/pacemaker-mkii/pdf"">PDF</a>",4793,07132.jpg,,2780,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,13,9.96,7.75,3.38,44.69,1.77,4077.0,,17.86,,244.28,89,-1,1984.0,,1825,20.45,2.14,2.31,11.46,3.38,12.04,4.21,,,19.39,25.32,17.87,11.95,"<a class="""" href=""https://sailboatdata.com/sailboat/contessa-33/pdf"">PDF</a>",1392,02076.jpg,,668,21,,143,12,45,255,,72,-1,,,,,,
59,30,6.1,5.8,2.6,22.67,0.8,1900.0,454.0,15.07,23.9,271.36,89,-1,1968.0,,1880,19.27,2.12,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/gypsy-ii/pdf"">PDF</a>",2767,04103.jpg,,2070,-1,,113,12,0,202,,237,-1,,,,,,
5,13,17.72,,8.66,,1.59,22000.0,,,,,89,-1,2020.0,,1960,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/voyage-590/pdf"">PDF</a>",6790,10036.jpg,,2821,-1,,176,12,113,346,,385,-1,,,,,27.29,
25,9,12.8,10.52,3.89,80.08,1.83,11158.0,4309.0,16.37,38.62,267.44,89,52,1992.0,,1855,34.87,1.76,1.84,16.04,5.36,14.37,4.27,,,42.98,30.65,15.05,16.91,"<a class="""" href=""https://sailboatdata.com/sailboat/valiant-42/pdf"">PDF</a>",6641,09819.jpg,,2763,-1,2010.0,167,12,-1,185,,223,-1,,,,,,
19,13,11.55,11.25,3.91,55.93,1.8,7900.0,,14.39,,154.62,89,-1,2006.0,,1825,24.18,1.98,2.91,13.96,3.9,13.0,4.42,,,27.23,28.73,14.4,14.49,"<a class="""" href=""https://sailboatdata.com/sailboat/impression-384-elan/pdf"">PDF</a>",3215,04801.jpg,,876,-1,2010.0,-1,12,81,83,,134,-1,,,,,16.57,
23,13,7.52,6.17,2.44,26.01,1.01,1588.0,567.0,19.49,35.71,188.17,89,-1,1985.0,,935,15.71,2.11,3.15,8.84,2.67,8.84,3.23,,,11.79,14.28,19.53,9.23,"<a class="""" href=""https://sailboatdata.com/sailboat/lancer-25-ps/pdf"">PDF</a>",3602,05375.jpg,,1510,-1,,-1,-1,-1,-1,,336,-1,,,,,,
5,12,11.92,11.92,6.52,90.02,1.1,6000.0,,27.82,,98.79,89,-1,2002.0,227.0,1588,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/lavezzi-40/pdf"">PDF</a>",3643,05431.jpg,,1007,50,2009.0,143,23,126,132,,258,-1,0.85,,,,17.55,
63,30,8.61,6.86,2.82,30.66,0.84,3305.0,1027.0,14.09,31.09,285.56,89,-1,1967.0,,447,24.01,1.91,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/macwester-28/pdf"">PDF</a>",3798,05662.jpg,,1609,28,,143,12,-1,286,,336,-1,,,,,,
23,30,7.6,6.85,2.5,28.9,1.25,1700.0,550.0,20.68,32.36,147.48,350,8,1975.0,,-1,15.13,2.11,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/neptun-25-1/pdf"">PDF</a>",4373,06489.jpg,,1855,-1,1983.0,-1,-1,-1,-1,,-1,-1,,,,,,
31,30,9.12,7.36,2.82,43.39,2.18,4763.0,2041.0,15.64,42.86,332.39,89,52,1968.0,320.0,371,32.37,1.69,1.42,11.89,3.66,10.31,4.19,,,21.74,21.61,15.62,12.44,"<a class="""" href=""https://sailboatdata.com/sailboat/morgan-30/pdf"">PDF</a>",4171,06201.jpg,1.07,1790,320,1971.0,133,48,-1,244,,83,-1,,,,,13.03,
40,9,10.44,8.38,3.2,55.74,1.45,6350.0,2722.0,16.59,42.86,300.53,350,-1,1994.0,22.0,1835,31.98,1.75,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/vancouver-34-pilot/pdf"">PDF</a>",6657,09840.jpg,,1936,111,2005.0,176,12,76,77,,106,-1,,,,,14.17,
36,13,10.06,8.53,3.15,50.17,2.13,2767.0,1225.0,25.96,44.26,124.05,89,52,1992.0,23.0,215,14.25,2.26,5.07,12.19,3.39,12.5,4.72,,,20.68,29.52,25.98,12.66,"<a class="""" href=""https://sailboatdata.com/sailboat/tripp-33/pdf"">PDF</a>",6552,09696.jpg,1.42,500,67,,165,12,13,255,,82,-1,,,,,,
49,4,4.88,,1.73,12.54,,191.0,,38.56,,,89,-1,1956.0,2760.0,1486,,3.03,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/mc-scow/pdf"">PDF</a>",3981,05936.jpg,,1733,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
